step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
41,0.8200000000000001,-0.2519384110629268,-1.5216310164542497,1.6381887378595816,-1.7213711091612618,-1.6598905944013969,0.1296118264368644,0.012163905460354653,0.3332395319222032,0.02581285817628701,0.13621551743151208,0.33680308912296425,0.02516614371713022,0.13958128741462658,0.9913496604026776,-0.03762773753791897,-0.025742912915478314,-0.12307439466395731,0.212,0.212,0.165,0.22611681020583235,0.6714764833450317,-0.16532181203365326,-0.2825671136379242,0.7235804200172424,0.29220864176750183,-0.11933713406324387,0.10736005008220673
42,0.84,-0.2346789716049713,-1.5275745295487044,1.625185975531134,-1.706969329229688,-1.6496904081965964,0.1259311455088248,0.01235237677353348,0.3335039427876828,0.03374901179999959,0.14056359870364932,0.3370196972356923,0.03322194873322492,0.14386398692798363,0.990895216619839,-0.03521328324103094,-0.028867467261940335,-0.1267018693516008,0.212,0.212,0.165,0.21917629287911197,0.6830864548683167,-0.15573522448539734,-0.2303871363401413,0.7287020683288574,0.34100985527038574,-0.08186772465705872,0.07193558663129807
43,0.86,-0.21647359815387404,-1.5334945083198022,1.6126585296162805,-1.6912137697615877,-1.6391317482320722,0.12238085135779496,0.012389404716214695,0.3330639679479546,0.04222774849795859,0.14466050374662226,0.336502330457325,0.0417572528332793,0.14788762042421574,0.9909858041127462,-0.03199236846726034,-0.030875278095965342,-0.12637381694546346,0.212,0.212,0.165,0.21160400938291002,0.671634316444397,-0.1370099037885666,-0.19977891445159912,0.7033805847167969,0.3468925356864929,-0.05507591366767883,0.06693398207426071
44,0.88,-0.19752806663555908,-1.539239435231814,1.600650213692609,-1.6743329006763314,-1.6282874488250088,0.11902725763972101,0.01237558614839225,0.3319360420265207,0.05113263376491686,0.1484679564876438,0.33530659033655374,0.05067325186448073,0.15160840637069029,0.9914544834487398,-0.02790043229596512,-0.03193545436034446,-0.12336814776063112,0.212,0.212,0.165,0.20349488854597927,0.6392403244972229,-0.09393219649791718,-0.1758972853422165,0.6787370443344116,0.3333408832550049,-0.03580048307776451,0.05881590023636818
45,0.9,-0.1780778864872698,-1.544637870821548,1.589192975069135,-1.6565097218351608,-1.6172654848068235,0.1159114976262091,0.012351000680269566,0.33014252818998147,0.06032301586266717,0.1519415427466128,0.3334701941483644,0.05985214823521433,0.1549780725877717,0.9921594626077075,-0.02318986021391449,-0.03201318430684446,-0.11856216585310761,0.212,0.212,0.165,0.1949472130914841,0.5959712266921997,-0.04425683245062828,-0.15420514345169067,0.6612390875816345,0.3112667202949524,-0.0209110826253891,0.045275505632162094
46,0.92,-0.1583532368712327,-1.549547467434414,1.5783112713920742,-1.6378874768619593,-1.606183708127153,0.11306174099980944,0.01232848862899918,0.32771029774334615,0.06965656658047678,0.1550430965201702,0.3310224261554781,0.06916485398584078,0.15795998899796948,0.9930010305701119,-0.01808943129574775,-0.031066403050330343,-0.11250157493833429,0.212,0.212,0.165,0.1860585354659418,0.5495099425315857,0.00013808999210596085,-0.13493220508098602,0.6484525799751282,0.2850937843322754,-0.008008687756955624,0.029596131294965744
47,0.9400000000000001,-0.13855576984674448,-1.5538718596827223,1.5680188933622887,-1.6185849746145673,-1.59515598328987,0.11049848816330184,0.012311075687426922,0.32467336573490374,0.07900216271286495,0.15775041873581735,0.3279950112842894,0.0784885795672897,0.16053558485084868,0.9939033510202907,-0.012785066588728472,-0.02908126200402156,-0.10557912247793914,0.212,0.212,0.165,0.1769182665284349,0.5053927302360535,0.035388946533203125,-0.1183006763458252,0.6377694010734558,0.2577449083328247,0.003739678766578436,0.014476163312792778
48,0.96,-0.11885027373780685,-1.557558053537435,1.5583190442938388,-1.5987066044723073,-1.5842851661817512,0.10823508190500075,0.0122988093841938,0.3210728645041225,0.08824652235889012,0.16005867024125958,0.32442509275536036,0.08771490290563035,0.16270365639700984,0.9948077726069814,-0.007428422609306695,-0.026074082445343538,-0.09809411971625626,0.212,0.212,0.165,0.16760507162598412,0.46593379974365234,0.06183686479926109,-0.10392661392688751,0.6277230978012085,0.23069873452186584,0.014142622239887714,0.0009852009825408459
49,0.98,-0.09936631875659392,-1.5605866403326918,1.5492055981723172,-1.5783470404638758,-1.5736606945243456,0.10627689061055434,0.012287007271278245,0.3169553077724533,0.09729573262090005,0.16197740473329922,0.3203550005635345,0.09675235399506883,0.16447669991160044,0.9956692120283143,-0.002142114142921129,-0.022085522266949903,-0.0902799051401255,0.212,0.212,0.165,0.15818691443916594,0.4313236176967621,0.08123929798603058,-0.09158183634281158,0.6176649332046509,0.204582080245018,0.022782040759921074,-0.010791362263262272
50,1.0,-0.0802003427623633,-1.562962750655681,1.5406627622627478,-1.5575943080041241,-1.5633575493996728,0.10462036458858275,0.012271403229663481,0.3123708338471914,0.10607494392930983,0.16352731481000707,0.31583108487583816,0.10552743124304122,0.16587781976064334,0.9964543426961887,0.0029750231028918836,-0.01717508143341844,-0.08230983378186733,0.212,0.212,0.165,0.1487214599569645,0.40192899107933044,0.09502220898866653,-0.08173289895057678,0.606989324092865,0.17997980117797852,0.029214704409241676,-0.02029641531407833
51,1.02,-0.06142339727184784,-1.564706844890011,1.5326656773583567,-1.536532866654847,-1.553437285831993,0.10325376015530284,0.012249943653133553,0.3073721834120727,0.11452616991406804,0.16473713804863743,0.31090322299914125,0.11398243689535995,0.16693756294999545,0.9971390986369152,0.00784533888573837,-0.011416632987171011,-0.07430833814965931,0.212,0.212,0.165,0.13925891119341394,0.3763841986656189,0.10508435219526291,-0.07439018785953522,0.5950539708137512,0.15680299699306488,0.033461857587099075,-0.027446549385786057
