config_id,cube_size,episode_id,repeat,run_dir,n_ticks,E_replay_onestep_joint_rad2,E_replay_openloop_joint_rad2,onestep_tcp_rms_m,onestep_box_rms_m,time_to_divergence_step,time_to_divergence_s
L2_pos_cube,4cm,7,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/E1_ep7_rep2_4cm,400,4.914994181070768e-06,0.0004714809223030201,0.0008104187750829623,0.00035206371405404794,348.0,6.891512382011699
L2_pos_cube,4cm,7,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/E1_ep7_rep3_4cm,400,4.432158569160276e-06,0.0004314336937809978,0.0007594585539832481,0.00036223370779498007,371.0,7.357470228756628
L3_pos_cube_robot,3cm,1,1,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/A2_ep1_rep1_3cm,400,3.45740046750385e-06,0.0003961822251300963,0.0009044624261145617,0.0005733754376470866,24.0,0.47606764614611063
L3_pos_cube_robot,3cm,1,2,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/A2_ep1_rep2_3cm,400,3.270203229158411e-06,0.0003881296586262649,0.000869495919764455,0.0005650569852019066,16.0,0.3173175288707709
L3_pos_cube_robot,3cm,1,3,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/A2_ep1_rep3_3cm,400,3.3664872908485963e-06,0.0003954120010382499,0.0008859955062485341,0.000525995638509307,17.0,0.33713221070935023
L3_pos_cube_robot,3cm,3,1,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B1_ep3_rep1_3cm,400,5.4190757714030765e-06,0.000559826751706631,0.0008575067121761773,0.006999396713145078,154.0,3.0555768387835203
L3_pos_cube_robot,3cm,3,2,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B1_ep3_rep2_3cm,400,5.393533280063818e-06,0.0005582486720515359,0.0008523773568183813,0.006986795644225411,152.0,3.0154424262006
L3_pos_cube_robot,3cm,3,3,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B1_ep3_rep3_3cm,400,7.015883949387022e-06,0.0007076176112394313,0.0008917260035040873,0.008558560831184923,135.0,2.675918447261386
L3_pos_cube_robot,3cm,4,1,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B2_ep4_rep1_3cm,400,7.835073836216147e-06,0.0008231449349566905,0.0008934172300601404,0.0024094407405170857,71.0,1.4068851799573134
L3_pos_cube_robot,3cm,4,2,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B2_ep4_rep2_3cm,400,8.007958356207678e-06,0.0008477633341652467,0.0009024788873131148,0.0024156099196845447,69.0,1.3690463380021138
L3_pos_cube_robot,3cm,4,3,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/B2_ep4_rep3_3cm,400,7.737617702288576e-06,0.0008175769561538357,0.0008927742667776797,0.0024136060996175065,73.0,1.4478378187327294
L3_pos_cube_robot,3cm,5,1,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/C1_ep5_rep1_3cm,400,7.349381054963263e-06,0.0006643835862701071,0.0011004701475059453,0.0034513345520589722,83.0,1.646206394577562
L3_pos_cube_robot,3cm,5,2,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/C1_ep5_rep2_3cm,400,7.63537541296009e-06,0.0006889464952382335,0.0011199182129269117,0.0035726196769226394,78.0,1.5458283287432966
L3_pos_cube_robot,3cm,5,3,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/C1_ep5_rep3_3cm,400,7.189345570417984e-06,0.0006568988748920539,0.0010829714133768237,0.003637290322213774,86.0,1.7059012315882822
L3_pos_cube_robot,3cm,6,3,robots/UR3e/real_robot_results/gap_protocol/L3_pos_cube_robot/gap_v1/D1_ep6_rep3_3cm,400,2.450970255789323e-06,0.0003254194805790368,0.00029574369156578994,0.002412036382252068,,
L4_full,3cm,0,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A1_ep0_rep1_3cm,400,5.534501106555914e-06,0.0005968674264110978,0.0009735987089806059,0.00025710603840026127,9.0,0.17838408048759405
L4_full,3cm,1,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A2_ep1_rep1_3cm,400,3.793754535122917e-06,0.0004452982179206778,0.0008549806464865338,0.0007183681397165744,13.0,0.2579468131218158
L4_full,3cm,1,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A2_ep1_rep2_3cm,400,4.235167804678802e-06,0.0005030284278898126,0.000766716045039433,0.0008578150980020132,11.0,0.21822336805627807
L4_full,3cm,1,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A2_ep1_rep3_3cm,400,3.3057587277500782e-06,0.0004435183830645578,0.0007391567566998364,0.0009039299426537795,12.0,0.23802761972779934
L4_full,3cm,2,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A3_ep2_rep2_3cm,400,8.120219363087057e-06,0.0008386734807010152,0.0014564376289943539,0.0047398897938961595,9.0,0.17855244528953293
L4_full,3cm,2,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/A3_ep2_rep3_3cm,400,6.141679589300435e-06,0.0006887512826775913,0.0012103488042445264,0.003552296136928125,9.0,0.17815020862595657
L4_full,3cm,4,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/B2_ep4_rep1_3cm,400,8.12759921989519e-06,0.000899736374071881,0.0009514383494476863,0.0024156542786439765,20.0,0.3968467204453181
L4_full,3cm,4,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/B2_ep4_rep2_3cm,400,7.3484253882658786e-06,0.0008200973823885972,0.000913750693987887,0.002414848987367013,24.0,0.47615294790768414
L4_full,3cm,4,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/B2_ep4_rep3_3cm,400,7.349132816406563e-06,0.0008199819828525655,0.0009137245795805661,0.00241431683852533,24.0,0.4760948188242026
L4_full,3cm,5,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/C1_ep5_rep1_3cm,400,7.2862916794887295e-06,0.0006949243262245722,0.0010857886791426036,0.0039424050003718375,23.0,0.4555615032911727
L4_full,3cm,5,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/C1_ep5_rep2_3cm,400,7.539093487801124e-06,0.0007200265361278063,0.0011060643117112802,0.004232746542439348,22.0,0.4355021953194944
L4_full,3cm,5,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/C1_ep5_rep3_3cm,400,7.485358876931202e-06,0.0007122745055755417,0.001101136104739734,0.003996771344182615,24.0,0.4761039889240044
L4_full,3cm,6,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/D1_ep6_rep1_3cm,400,8.228587657093738e-06,0.0006418430335494896,0.0011253643724777156,0.0025307843757720054,17.0,0.33724245206376435
L4_full,3cm,6,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/D1_ep6_rep2_3cm,400,8.13890987344398e-06,0.0006318284923811222,0.0011229499472110841,0.0024497556120549138,17.0,0.33713060607660655
L4_full,3cm,6,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/D1_ep6_rep3_3cm,400,8.086595306723835e-06,0.0006280696943812791,0.0011218750428132595,0.002776666081658264,17.0,0.3368148547079173
L4_full,4cm,8,1,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/E2_ep8_rep1_4cm,400,3.2427568026446606e-06,0.0005663280828675206,0.0009493475853833837,0.00239739542507107,10.0,0.19774810124690656
L4_full,4cm,8,2,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/E2_ep8_rep2_4cm,400,3.244293706291753e-06,0.0005650657373049083,0.0009517834890262085,0.0024119185317043592,9.0,0.1785170737370568
L4_full,4cm,8,3,robots/UR3e/real_robot_results/gap_protocol/L4_full/gap_v1/E2_ep8_rep3_4cm,400,3.1840395385093073e-06,0.0005633286991640681,0.0009487451033288829,0.0024142058576345025,9.0,0.1785395627283647
